prevahi_a,descrip
1,Gestionar programas de créditos inmobiliarios orientados a la adquisición de vivienda para personas de bajos ingresos
2,Adquirir suelo y dotarlo de servicios
3,Creación de una instancia que ayude a evitar la conformación de nuevos asentamientos humanos irregulares
4,Publicación de regulaciones que sancionen a las personas físicas o morales que fomenten la creación o expansión de asentamientos humanos irregulares
5,"Inspección, monitoreo y registro de zonas propensas a invasión"
6,Clausura o suspensión de obras
7,Reuniones o asesorías jurídicas con las asambleas ejidales para evitar la conformación de nuevos asentamientos humanos irregulares
8,"Difusión de las causas, riesgos y consecuencias legales de la creación de asentamientos humanos irregulares"
9,No autorizar licencias o permisos de construcción
10,Acciones coordinadas con otras instancias de gobierno
11,Otra
